""	"Accius"	"Ennius"	"Livius"	"Naevius"	"Pacuvius"
"tolero"	2	0	1	0	0
"timus"	0	0	0	1	0
"timor"	1	0	0	0	0
"timidus"	2	1	0	0	0
"timiditas"	0	0	0	0	1
"thyrsiger"	0	0	0	1	0
"texo"	1	0	0	0	0
"tetritiduda"	1	0	0	0	0
"teter"	3	0	0	0	0
"testudo"	0	0	0	0	1
"testis1"	1	0	0	0	0
"tesca"	1	0	0	0	0
"tertius"	0	0	1	0	0
"territo"	0	0	0	0	1
"terriculum"	2	0	0	0	0
"terribilis"	0	1	0	0	0
"terra"	4	6	1	0	4
"tero"	1	0	0	0	0
"tento"	0	0	0	0	1
"tengo"	0	0	0	0	1
"teneo"	3	0	0	0	1
"tenebricus"	0	0	0	0	1
"tenebrae"	1	0	0	0	1
"tendo"	3	0	0	0	0
"tenax"	0	1	0	0	0
"tempus1"	1	0	0	0	1
"tempus"	1	0	0	0	0
"templum"	3	4	1	0	2
"tempestas"	0	0	0	0	1
"temo"	0	1	0	0	0
"temeritudo"	0	0	0	0	1
"temeriter"	1	0	0	0	0
"temere"	1	0	0	0	0
"telum"	2	0	0	0	0
"tectum"	2	1	0	0	0
"tardus"	2	1	0	0	0
"tardities"	1	0	0	0	0
"tardigradus"	0	0	0	0	1
"tantus"	3	1	0	0	0
"tanto"	1	0	0	0	0
"tango"	0	0	0	0	1
"tandem"	0	1	0	0	1
"tamquam1"	0	0	0	0	1
"tamen"	3	0	0	1	5
"tam"	8	2	0	0	1
"talis"	1	0	0	0	1
"tago"	0	0	0	0	2
"taetre"	1	0	0	0	0
"taeda"	1	1	0	0	0
"tacite"	1	0	0	0	0
"taceo"	0	0	0	0	1
"tabum"	0	1	0	0	0
"tabificabilis"	1	0	0	0	0
"tabeo"	0	1	0	0	0
"suus"	9	4	0	2	1
"suum"	0	0	0	0	1
"suspicio1"	0	2	0	0	1
"suspensus"	0	0	0	0	1
"suspendo"	0	0	0	0	2
"suscito1"	1	0	0	0	0
"surgo"	0	0	0	0	1
"supra"	0	0	0	0	1
"suppus"	1	0	0	0	0
"supplicium"	1	0	0	0	0
"suppeto"	0	0	0	1	0
"superus"	7	7	0	0	2
"superstitiosus"	0	0	0	0	1
"supero"	0	2	0	0	0
"super2"	1	0	0	0	1
"suo"	0	0	0	0	1
"sumo"	0	0	0	1	0
"summum1"	1	0	0	0	0
"summa"	3	1	0	0	0
"sum1"	85	34	1	5	64
"sui1"	10	7	2	3	7
"sui"	1	1	0	0	1
"suffero"	1	0	0	0	0
"sudo"	0	1	0	0	0
"succussus"	0	0	0	0	1
"succusso"	1	0	0	0	0
"subter2"	2	0	0	0	0
"subsisto"	1	0	0	0	0
"subscus"	0	0	0	0	1
"sublimus1"	2	0	0	0	0
"sublimo"	0	1	0	0	0
"sublimis"	0	3	0	0	0
"sublimen"	0	1	0	0	0
