""	"Accius"	"Ennius"	"Livius"	"Naevius"	"Pacuvius"
"oculus"	2	1	1	0	1
"ociter"	1	0	0	0	0
"oceanus1"	1	0	0	0	0
"occupo2"	3	1	1	0	2
"occultus"	1	0	0	0	0
"occultum"	1	0	0	0	1
"occulte"	1	0	0	0	1
"occistians"	0	0	0	0	1
"occido2"	0	0	0	0	3
"occido1"	0	0	0	0	1
"occasus"	0	0	0	0	1
"occasio"	1	0	0	0	0
"occaeco"	0	0	0	0	1
"obuo"	0	1	0	0	0
"obuiam"	1	0	0	0	0
"obuallo"	2	0	0	0	0
"obtueor"	2	0	0	0	0
"obtorqueo"	1	0	0	0	0
"obtexo"	1	0	0	0	0
"obtero"	0	0	0	1	0
"obtego"	1	0	0	0	0
"obsum1"	2	0	0	0	0
"obstupidus"	0	0	0	0	1
"obsto"	1	0	0	0	0
"obstinatus"	2	0	0	1	0
"obsidio"	0	1	0	0	0
"obsideo"	1	0	0	0	0
"obserus"	0	0	0	1	0
"obseruatio"	0	1	0	0	0
"obsecro"	3	0	0	0	0
"obscurus"	0	1	0	0	0
"obscuro"	0	1	0	0	0
"obscenus"	2	0	0	0	0
"obruo"	0	0	0	0	1
"obrigesco"	0	0	0	0	1
"oborior"	0	1	0	0	0
"obnuntio"	0	0	0	0	1
"obnoxius"	1	0	0	0	1
"obnoxiosus"	0	1	0	0	0
"obnecto"	1	0	0	0	0
"obliuiscor"	2	0	0	0	0
"oblittero"	1	0	0	0	0
"obligo2"	1	0	0	0	0
"oblecto"	1	0	0	0	0
"obiurgo"	0	1	0	0	0
"obiecto"	0	0	0	0	1
"obicio"	0	1	0	0	0
"obiaceo"	0	1	0	0	0
"obfirmo"	0	0	0	0	1
"obeo1"	1	1	0	0	0
"obediens"	1	0	0	0	0
"ob"	1	0	0	0	0
"o"	6	6	0	0	1
"nuptiae"	0	0	0	0	1
"nuntius1"	0	1	0	0	0
"nuncupo"	0	0	0	0	2
"nunc"	12	8	0	1	7
"numquam"	3	2	0	0	1
"numerus"	1	1	0	0	0
"numen"	1	0	0	0	0
"num"	1	0	0	0	1
"nullus"	3	0	0	0	0
"nudus"	1	0	0	0	0
"nudo"	0	0	0	0	1
"nubes"	0	0	0	0	1
"noxitudo"	1	0	0	0	0
"noxa"	1	0	0	0	0
"nox"	0	3	0	0	3
"nouus"	1	0	0	0	1
"nouem"	1	0	0	0	0
"notus2"	3	0	0	0	0
"noster"	2	0	0	1	4
"nosco"	0	0	0	0	1
"nos"	7	3	0	2	4
"nonne"	1	0	0	0	2
"non"	14	6	0	1	10
"nomus"	0	1	0	0	0
"nomino"	1	1	0	0	0
"nomen"	3	5	0	0	2
"nolo"	1	0	0	0	0
"nobilito"	1	0	0	0	1
"nobilitas"	2	0	0	0	0
"nix"	1	0	0	0	0
"niueus"	0	0	0	1	0
"nitor2"	1	1	0	0	1
"nitiditas"	1	0	0	0	0
"nisus"	1	0	0	0	1
"nisi"	6	0	0	0	6
"ningo"	1	0	0	0	0
"nimis"	0	0	0	0	1
"nimbus"	2	0	0	0	1
"nihil"	4	0	0	0	3
"nigro"	1	0	0	0	1
"niger"	0	0	0	0	1
"ni2"	1	0	0	0	4
"nex"	0	1	0	0	1
"neue2"	0	1	0	0	2
"nescio"	0	2	0	0	2
"nequiquam"	0	1	0	0	1
"nequeo"	1	0	0	0	0
"neque"	19	4	0	0	10
"nepa"	0	1	0	0	0
"nemo"	1	2	1	0	0
"negotium"	0	4	0	0	0
"nefas"	1	0	0	0	0
"necto"	1	0	0	0	0
"neco"	0	1	0	0	0
"nec2"	7	2	0	0	5
"ne4"	9	3	0	1	9
"ne3"	1	0	0	0	0
"ne2"	6	1	1	2	4
"nauis"	2	2	0	0	1
"natus?"	0	1	0	0	0
"natus1"	3	0	0	0	4
"natura"	3	0	0	0	1
"nata"	3	0	1	0	1
"nascor"	2	0	0	1	2
"nanciscor"	0	1	0	0	0
"namque"	2	0	0	0	0
"nam"	13	12	1	1	9
"mutus"	2	0	0	1	0
"mussares"	0	1	0	0	0
"murus"	1	0	0	0	0
"murmur"	0	0	0	0	1
"munero"	1	0	0	0	0
"multus"	9	5	0	0	2
"multum2"	0	1	0	0	0
"multum"	0	0	0	0	1
"multo2"	1	0	0	0	0
"multimodis"	0	0	0	0	1
"multi"	3	1	0	0	0
"mulier"	3	0	1	0	3
"muliebris"	1	0	0	0	1
"mulco"	1	0	0	0	0
"mos"	4	2	0	0	1
"mortualis"	0	0	0	1	0
"mortalis2"	2	0	0	0	0
"mortalis1"	2	1	0	0	0
"morsus"	1	0	0	0	0
"mors"	3	2	0	1	2
"moror1"	2	0	0	0	1
"morigeror"	1	0	0	0	0
"morbus"	0	1	0	0	0
"monstro"	0	1	0	0	0
"mons"	2	0	0	0	1
"moneo"	0	0	0	0	2
"mollitudo"	0	0	0	0	2
"mollis"	0	0	0	0	1
"mollio"	1	0	0	0	1
"molior"	1	0	0	0	0
"moles"	6	0	0	0	0
"moenia"	2	0	0	0	0
"modus"	0	1	0	0	0
"modo1"	2	1	0	0	1
"modicus"	1	0	0	0	0
"modice"	0	1	0	0	0
"modero"	1	0	0	0	1
"mitto"	1	0	0	1	1
"mitisco"	0	0	0	0	1
"mitis"	2	0	0	0	0
"mitesco"	0	0	0	0	1
"miseror"	2	0	0	0	0
"miseritudo"	2	0	0	0	0
"misericordia"	1	0	0	0	0
"miseria"	2	1	0	0	0
"misereor"	1	1	0	0	0
"misereo"	1	0	0	0	1
"miser"	5	4	0	0	3
"minuo"	2	0	0	0	1
"minor"	0	1	0	0	0
"minitabiliter"	0	0	0	0	1
"minae"	0	1	0	0	0
"militia"	0	1	0	0	0
"micans"	1	0	0	0	0
"meus"	14	9	1	0	9
"metus"	2	1	0	0	2
"metuo"	1	0	0	0	2
"mereor"	0	0	0	1	1
"meo"	0	0	0	1	0
"mensa"	1	0	0	0	0
"mens"	0	1	0	0	1
"memoro"	2	0	0	0	2
"memoria"	0	0	0	0	1
"memorabilis"	1	0	0	0	0
"memini"	0	0	0	1	0
"membrum"	2	1	0	0	0
"medium"	1	0	0	0	0
"mediocriter"	0	0	0	0	1
"mediocris"	1	0	0	0	0
"medicina"	1	0	0	0	0
"matutinus"	1	0	0	0	0
"maturo"	1	0	0	0	0
"matrona"	1	1	0	0	0
"matresco"	0	0	0	0	1
"maternus"	0	0	0	0	1
"mater"	2	1	0	0	3
"mare"	3	3	0	0	2
"manus1"	3	2	0	2	2
"manubiae"	0	0	0	1	0
"mansuetus"	1	0	0	0	0
"mansues"	1	0	0	0	0
"maneo"	1	0	0	0	2
"mane2"	0	0	0	0	1
"mando2"	2	0	0	0	1
"mamma"	0	0	0	0	1
"malus3"	3	1	0	0	1
"malus1"	0	1	0	0	0
"malum2"	1	0	0	0	0
"malum1"	4	5	0	0	0
"malo"	3	1	0	0	0
"malefactum"	0	0	0	0	1
"male"	1	3	0	0	1
"maiores"	0	0	0	0	1
"maiestas"	1	0	1	0	0
"magnus"	5	4	0	0	1
"magnitas"	1	0	0	0	0
"magis2"	3	1	0	0	2
"magis"	0	0	0	0	1
"maesto"	1	0	0	0	0
"maestitudo"	1	0	0	0	0
"maestitia"	1	0	0	0	0
"maeror"	1	0	0	0	3
"mactus"	1	0	0	0	1
"macto"	2	0	0	0	1
"macero"	0	0	0	0	1
"lympha"	0	0	0	0	1
"lycurga"	0	0	0	1	0
"lux"	0	1	0	1	0
"lustro2"	0	0	1	0	0
"luna"	1	1	0	0	0
"lumen"	3	2	0	1	0
"lugubris"	1	0	0	0	0
"ludus"	1	1	0	0	1
"ludo"	0	0	1	1	0
"luctus"	6	0	0	0	0
"lucifer2"	1	0	0	0	0
"loquor"	3	1	0	0	1
"longus"	1	0	0	0	0
"longinque"	0	1	0	0	0
"longe"	0	0	0	1	0
"locus"	9	0	0	1	5
"locupleto"	1	0	0	0	0
"loco"	0	1	0	0	0
"litus"	3	0	0	0	1
"lito"	0	0	1	0	0
"lissimum"	0	0	0	0	1
"liquesco"	0	0	0	1	0
"lingua"	2	1	0	1	3
"limus1"	1	0	0	0	0
"limen"	1	0	0	0	0
"licet3"	0	0	0	0	1
"libet"	0	1	0	0	0
"libertas"	0	1	0	0	0
"liberi"	2	0	0	2	1
"libere"	0	0	0	0	1
"liber2"	1	1	0	0	0
"liber1"	0	0	0	0	1
"libens"	0	0	1	0	0
"leuo1"	1	0	0	0	2
"leuis1"	2	0	0	0	0
"letum"	2	0	0	0	1
"lenitudo"	0	0	0	0	1
"leniter"	1	0	0	0	0
"lenis2"	1	0	0	0	0
"lemma"	0	1	0	0	0
"lectus1"	1	0	0	0	0
"laus"	3	0	1	0	0
"lauo?"	0	2	0	1	0
"lauo2"	1	0	0	0	0
"lauo1"	1	1	0	0	0
"latus1"	1	1	0	0	0
"latratus"	1	0	0	0	0
"lateo"	0	1	0	0	0
"late"	1	0	0	1	0
"lassitudo"	1	0	0	0	1
"lasciuus"	0	1	1	0	0
"lasciuia"	0	0	0	0	1
"largus"	1	0	0	0	0
"largificus"	0	0	0	0	1
"laqueo1"	0	1	0	0	0
"lapis"	0	1	0	0	2
"lapio"	0	0	0	0	1
"langueo"	1	0	0	0	0
"lamentor"	0	0	0	0	1
"lamenta"	0	0	0	0	1
"laeua?"	0	1	0	0	0
"laeua1"	1	1	0	0	0
"laetus2"	1	0	0	0	2
"laetor"	0	0	0	1	0
"laeto"	0	0	1	0	0
"laetitudo"	1	0	0	0	0
"lacto"	0	0	0	0	2
"lacrima"	3	2	0	0	0
"lacerta"	1	0	0	0	0
"lacero"	0	1	0	0	2
"lac"	1	0	0	0	0
"labundus"	1	0	0	0	0
"labor2"	1	0	0	0	0
"labor1"	2	0	0	0	1
"iuxtim"	0	0	1	0	0
"ius1"	0	2	0	0	0
"iuratus"	0	0	0	0	1
"iuppiter"	0	1	0	2	0
"iungo"	1	0	0	0	0
"iuis"	1	0	0	0	0
"iugulum"	1	0	0	0	0
"iuge"	0	1	0	0	0
"iudicium"	0	0	0	0	1
"iubeo"	2	0	0	0	0
"iubatus"	0	0	0	1	0
"iubaro"	0	0	0	0	1
"iterum"	2	0	0	0	0
"itero"	2	0	0	1	1
"iter"	3	2	0	0	4
"item"	1	0	0	0	0
"ita"	5	3	0	0	3
"istic1"	3	0	0	0	3
"iste"	2	1	0	0	3
"ispe"	0	0	0	0	1
"is"	25	8	0	4	20
"irrigo"	1	0	0	0	0
"irrideo"	1	0	0	0	0
"iratus"	1	1	0	0	0
"ira"	3	0	0	3	1
"ipse"	7	5	1	0	5
"inuoco"	0	0	0	0	1
"inuitus"	1	1	0	0	0
"inuiso"	1	0	0	0	0
"inuisitus"	1	0	0	0	0
"inuideo"	2	0	0	0	0
"inuictus"	1	0	0	0	0
"inuestio"	0	1	0	0	0
"inuestigo"	0	0	0	0	2
"inuenio"	1	0	0	1	2
"inuado2"	1	0	0	0	0
"intuor"	1	0	0	0	0
"intueor"	0	0	0	0	1
"introduco"	0	1	0	0	0
"intro2"	1	0	0	0	0
"intra2"	1	0	0	0	1
"intolerandus"	0	0	0	0	1
"interuentum"	0	0	0	0	1
"interuenio"	0	0	0	0	1
"interrumpo"	1	0	0	0	0
"interpretor"	0	0	0	0	1
"interpres"	0	0	0	0	1
"internecio"	1	0	0	0	0
"interficio"	1	0	0	0	1
"intereo1"	1	1	0	0	1
"interea"	1	1	0	0	3
"interdum"	1	0	0	0	0
"inter"	5	1	0	1	2
"intendo"	0	1	0	0	0
"intelligo"	1	1	0	0	3
"integro"	0	0	0	0	1
"integer"	0	0	0	0	2
"insuetus"	0	0	0	0	1
"instruo"	0	1	0	0	0
"insto"	1	0	0	0	1
"instituo"	0	1	0	0	0
"inspicio"	0	2	0	0	0
"insomnium"	0	0	0	0	1
"insolentia"	1	0	0	0	0
"insolens"	0	0	0	0	1
"insisto"	2	0	0	0	1
"insigne"	1	0	0	0	0
"insidiae"	1	0	0	0	0
"inscitia"	1	0	0	0	0
"insanus"	0	1	0	0	0
"insania"	1	0	0	0	0
"inquiro"	0	0	0	0	1
"inquio"	1	0	0	0	0
"inoratus"	0	1	0	0	0
"inopia"	0	1	0	0	0
"innoxius"	0	1	0	0	0
"innocens"	0	1	0	1	0
"innitor2"	0	1	0	0	0
"iniurus"	0	0	0	1	0
"iniurie"	0	0	0	1	0
"iniuria"	0	0	0	0	1
"initio"	0	0	0	0	1
"iniquus2"	1	0	0	0	0
"inimicus2"	1	0	0	0	0
"inimicus1"	0	0	0	0	1
"inimicitia"	0	0	0	0	1
"inibi"	0	0	0	0	1
"inhumatus"	0	0	0	0	1
"inhorresco"	0	0	0	0	1
"ingredior"	2	0	0	0	1
"ingratus"	0	0	0	0	1
"ingratificus"	1	0	0	0	0
"ingenuus"	0	1	0	0	0
"ingens"	1	0	0	0	1
"ingenium"	4	1	0	2	5
"infrenus"	0	1	0	0	0
"infreno"	1	1	0	0	0
"inflexus"	0	0	0	1	0
"inflammo"	1	1	0	0	0
"infitior"	1	0	0	0	0
"infidus"	0	0	0	0	1
"infidelis"	1	0	0	0	0
"inferus"	0	1	0	0	0
"infero"	1	0	0	0	0
"infernus"	0	0	0	0	1
"inferi"	0	1	0	0	1
"infans1"	1	0	0	0	0
"infabre"	0	0	0	0	1
"inexorabilis"	0	0	0	0	1
"iners"	0	1	0	0	0
"industria"	0	1	0	0	0
"indomitus"	1	0	0	0	0
"indoctus"	1	0	0	0	0
"indo"	0	2	0	0	0
"indignus"	1	0	0	0	0
"indigne"	0	0	0	1	0
"indigeo"	0	0	0	0	1
"indidem"	0	0	0	0	1
"indecoro"	1	0	0	0	0
"indecorabiliter"	1	0	0	0	0
"inde"	0	1	0	0	3
"incursio"	1	0	0	0	0
"incultus2"	0	0	0	0	2
"increpo"	0	1	0	0	1
"incommodum"	1	0	0	0	0
"incolumna"	0	0	0	0	1
"inclutus"	2	0	0	0	0
"incleo"	1	0	0	0	0
"incipio"	2	0	0	0	2
"incingo"	0	1	0	0	0
"incilo"	1	0	0	0	1
"inchoo"	0	1	0	0	0
"incertus"	0	1	0	0	2
"incertum"	1	0	0	0	0
"incerto1"	0	0	0	0	1
"incerte"	0	1	0	0	1
"incedo1"	0	3	0	1	0
"inauro"	0	1	0	0	0
"inaudio"	0	0	0	0	1
"inanimus"	0	0	0	0	1
"in"	47	18	2	6	19
"improbo"	0	1	0	0	0
"impos"	1	0	0	0	0
"importo"	0	0	0	0	1
"impono"	1	0	0	0	0
"imploro"	1	0	0	0	0
"impietas"	1	0	0	0	0
"impexus"	0	0	0	0	1
"impetus"	1	0	0	0	0
"impetro"	0	1	0	0	0
"impetritus"	0	0	0	0	1
"impetibilis"	1	0	0	0	0
"impero"	0	1	0	0	1
"imperium"	2	2	0	0	2
"imperitus"	1	0	0	0	0
"imperito"	1	0	0	0	0
"imperator"	0	0	0	0	1
"immunis"	1	0	0	0	0
"immortalis"	1	0	0	0	0
"immo"	1	0	0	0	0
"immitto"	2	0	0	0	0
"imminuo"	1	0	0	0	0
"immemor"	1	0	0	0	0
"immanis"	4	0	0	0	0
"imbuo"	3	0	0	0	1
"illuc"	0	2	0	0	0
"illinc"	0	1	0	0	1
"illico"	1	0	0	0	1
"illicite"	0	0	0	1	0
"illicio"	1	0	0	0	0
"illic2"	0	0	0	0	1
"ille"	11	1	0	2	12
"illaqueo2"	0	0	0	0	1
"ignotus"	1	0	0	1	1
"ignosco"	1	0	0	0	0
"ignobilis"	0	1	0	0	1
"ignis"	1	1	0	0	0
"ignauus2"	1	0	0	0	1
"iecur"	0	0	0	0	1
"idem"	3	4	0	0	5
"ictus"	0	0	0	0	1
"ico"	1	0	0	1	2
"ibi"	2	3	0	1	1
"iam"	12	3	1	2	6
"iacio"	1	1	0	0	0
"iaceo"	2	1	0	0	0
"humilis"	2	0	0	0	2
"humidus"	1	1	0	0	0
"humanus"	2	2	0	0	1
"huc"	2	1	0	1	0
"hostius"	0	0	0	0	1
"hostis"	2	1	0	0	0
"hostificus"	1	0	0	0	0
"hosticus"	1	0	0	0	0
"hostia"	0	0	0	0	1
"hospius"	0	1	0	0	0
"hospitium"	0	0	0	0	1
"hospita"	0	0	0	0	1
"hospes"	2	1	0	0	2
"hortor"	2	0	0	0	0
"hortatrix"	0	0	0	0	1
"horror"	0	0	0	0	1
"horrificabilis"	1	0	0	0	0
"horrifer"	1	0	0	0	1
"horridus"	1	0	0	0	2
"horresco"	0	0	0	0	1
"horreo"	1	0	0	0	0
"honor"	0	1	0	0	1
"honestitudo"	2	0	0	0	0
"hodie"	0	1	0	0	0
"hisco"	1	0	0	0	0
"hippotes"	0	0	0	0	1
"hinc"	2	1	0	0	4
"hic2"	3	0	0	0	3
"hic1"	28	15	2	1	25
"hic"	0	0	0	0	1
"heu"	4	1	0	0	2
"herilis"	0	1	0	0	0
"herba"	1	0	0	0	0
"hera"	0	1	0	0	0
"hem"	2	1	0	0	0
"haudquaquam"	1	0	0	0	0
"haud"	6	0	0	0	1
"hasta"	0	2	0	0	0
"halito"	0	1	0	0	0
"habito"	1	0	0	0	0
"habeo"	6	3	0	1	4
"guttatim"	0	1	0	0	0
"gutta"	1	0	0	0	0
"grummus"	1	0	0	0	0
"gressus"	1	0	0	0	0
"gremium"	0	0	0	0	1
"grauiter"	0	1	0	0	1
"grauis"	3	0	0	0	0
"grauidus"	0	1	0	0	1
"gratus"	1	0	0	0	1
"gratulor"	0	1	0	0	0
"grator"	0	0	0	0	1
"gratia"	1	2	0	0	2
"grando"	0	0	0	0	1
"grandis"	1	0	0	0	0
"grandior"	0	0	0	0	1
"grandaeuitas"	1	0	0	0	1
"gradus"	2	2	0	0	5
"gradior"	0	0	0	0	1
"gracilitudo"	1	0	0	0	0
"gnobilis"	1	0	0	0	0
"gloria"	3	2	0	0	1
"globosus"	1	0	0	0	0
"glisco"	0	0	0	0	1
"glaucus2"	1	0	0	0	0
"gigno"	1	0	0	0	0
"gestito"	0	1	0	0	0
"gero"	1	4	0	1	0
"germane"	0	1	0	0	0
"gens"	3	0	0	0	0
"genitor"	2	0	0	0	0
"gener"	1	0	0	0	0
"gena"	0	0	0	0	1
"gemo"	0	1	0	0	0
"gemitus"	1	1	0	0	1
"geminus"	0	0	0	0	2
"geminitudo"	0	0	0	0	1
"gelidus"	1	0	0	0	0
"gaudium"	0	0	0	0	1
"futilus"	0	1	0	0	0
"futilel"	0	1	0	0	0
"fuscina"	1	0	0	0	0
"funus"	1	0	0	0	0
"fungor"	0	0	0	0	1
"funestus"	2	0	0	0	0
"fulgorio"	0	0	0	1	0
"fulgens"	1	0	0	0	0
"frux"	2	0	0	0	3
"frundifer"	0	0	0	1	0
"fructus"	0	1	0	0	0
"frondeo"	1	0	0	0	0
"fringo"	1	0	0	0	0
"frigo1"	1	0	0	0	0
"frico"	1	0	0	0	0
"fretus2"	0	0	0	0	1
"fretus1"	0	1	0	0	0
"fretum"	1	0	0	0	0
"frequens"	0	0	0	0	1
"frenum"	1	0	0	0	0
"frendo"	0	0	0	0	2
"fremitus"	2	0	0	0	1
"fraternus"	0	0	0	0	1
"frater"	2	0	0	0	1
"frango"	1	2	0	0	0
"fragesco"	1	0	0	0	0
"fortuna"	6	2	0	0	1
"fortitudo"	0	0	0	0	1
"fortiter"	0	2	0	0	0
"fortis"	3	0	0	0	0
"forte"	3	0	0	0	1
"fors1"	2	0	0	0	0
"formo"	0	0	0	0	1
"formido2"	1	0	0	1	0
"formido1"	0	0	0	0	1
"forma"	1	0	0	1	1
"foris1"	0	0	0	0	1
"foras"	0	1	0	0	0
"fons"	0	0	0	2	0
"foede"	0	0	0	0	1
"focus"	1	0	0	0	0
"fluxus2"	1	0	0	0	0
"fluuia"	1	0	0	0	0
"flumen"	1	0	0	0	0
"fluctus"	3	3	0	0	0
"fluco"	0	0	0	0	1
"flosum"	0	0	0	1	0
"flos"	3	0	0	0	2
"florus"	0	0	0	0	1
"floreo"	1	0	0	0	0
"fligo"	1	0	1	0	0
"flictus"	0	0	0	0	1
"flexiuix"	0	0	0	0	1
"flexanimus"	0	0	0	0	1
"fletus"	1	0	0	0	2
"flecto"	0	1	0	1	3
"flebilis"	1	0	0	0	0
"flauus"	0	0	0	0	2
"flammifer"	0	1	0	0	0
"flammeus"	1	0	0	0	1
"flammeum"	2	0	0	0	0
"flamma"	2	3	0	1	1
"flacco"	0	1	0	0	0
"flaccesco"	0	0	0	0	1
"firmus"	0	2	0	0	0
"fio"	1	2	0	1	1
"finis"	4	0	0	0	0
"fingo"	1	0	0	0	0
"filius"	0	1	0	0	1
"figura"	1	0	0	0	1
"figo"	0	1	0	0	0
"fidus"	1	1	0	0	0
"fides2"	2	2	0	0	1
"fidelitas"	1	0	0	0	0
"fictor"	1	0	0	0	0
"fetus1"	1	0	0	0	2
"ferus2"	1	0	0	1	0
"feruo"	1	0	0	0	1
"feruidus"	1	0	0	0	0
"ferueo"	1	0	0	1	0
"ferrum"	1	3	0	1	0
"ferox"	2	0	0	0	4
"ferocia"	1	0	0	0	1
"fere"	1	0	0	0	0
"fera"	2	0	0	1	2
"febris"	1	0	0	0	0
"fax"	0	2	0	0	0
"faustus"	1	0	0	0	1
"fauentia"	1	0	0	0	0
"fatum"	2	0	0	0	0
"fatiscor"	1	0	0	0	1
"fatigo"	0	0	0	0	1
"fateor"	1	0	0	0	0
"fas"	2	0	0	0	0
"fanum"	0	1	0	0	0
"famulitas"	1	0	0	0	1
"famulanter"	1	0	0	0	0
"familia"	0	1	0	0	1
"fames"	1	0	0	0	1
"fama"	3	2	0	1	2
"falsus"	0	1	0	0	2
"facultas"	1	0	0	0	0
"facul"	0	0	0	0	1
"factum"	0	0	0	1	0
"facio"	11	4	0	1	10
"facinus"	1	1	0	0	0
"facile"	3	2	0	0	1
"facies"	0	0	0	1	1
"facesso"	0	0	0	0	2
"fabricor"	1	0	0	0	0
"exuuiae"	3	0	0	0	0
"exuro"	1	0	0	0	1
"exubero"	1	0	0	0	0
"extus"	0	0	0	0	1
"exturbo2"	1	0	0	0	0
"extra2"	0	1	0	0	0
"extorris"	1	0	0	0	0
"extollo"	1	1	0	0	0
"extispicium"	1	0	0	0	0
"exter"	0	0	0	0	1
"extemplo"	0	0	0	0	1
"exsuscito1"	1	0	0	0	0
"exsulo"	1	0	0	0	0
"exsul"	1	0	0	0	1
"exstinguo"	2	0	0	0	1
"exspiro"	1	0	0	0	0
"exspes"	1	0	0	0	0
"exspecto"	2	2	0	0	2
"exsisto"	1	0	0	0	1
"exsilium"	2	2	0	0	2
"exsequor"	1	1	0	0	0
"exsecrabilis"	1	0	0	0	0
"exquiro"	0	0	0	0	1
"expugno"	1	0	0	0	0
"expromo"	1	0	0	0	0
"exposco"	0	1	0	0	0
"explico"	2	0	0	0	0
"expleo"	3	0	0	0	0
"explano"	0	0	0	0	1
"expeto"	2	1	0	0	1
"expers"	1	0	0	0	0
"expendo"	1	0	0	0	0
"expello"	1	0	0	0	1
"expedio"	0	0	0	0	3
"exortus"	0	0	0	0	1
"exorior"	1	1	0	0	2
"exordium"	0	1	0	0	0
"exoptus"	1	0	0	0	0
"exitium"	0	0	0	0	1
"exigo"	0	0	0	1	1
"exercitus1"	2	0	0	0	0
"exercitium"	2	0	0	0	0
"exerceo"	1	1	0	0	1
"exeo1"	1	0	0	0	0
"exemplum"	1	0	0	0	0
"excrucio"	0	1	0	0	1
"excito1"	1	0	0	0	0
"excio"	3	0	0	0	0
"excido1"	0	0	0	1	0
"excelsus"	1	0	0	0	0
"exaudio"	1	0	0	0	0
"exanimo"	0	2	0	0	0
"exanclo"	2	1	0	0	1
"exalbesco"	0	1	0	0	0
"ex"	21	4	0	2	11
"euolo2"	1	0	0	0	0
"euito"	1	1	0	0	0
"euiscero"	0	1	0	0	1
"euhio"	1	0	0	0	0
"euerto"	2	0	0	0	0
"euenio"	0	1	0	0	0
"euago"	1	0	0	0	0
"euado2"	1	0	0	0	0
"etsi2"	2	1	0	0	2
"etiam"	2	2	0	0	1
"et2"	54	20	1	1	26
"erumpo"	1	0	0	0	1
"error"	1	0	0	0	3
"erro2"	0	2	0	0	1
"erro1"	1	0	0	0	0
"erogito"	1	0	0	0	0
"eripio"	1	0	0	0	0
"erigo"	1	0	0	0	0
"ergo2"	1	0	0	0	0
"erga"	0	0	0	0	2
"equus"	1	1	0	0	0
"equinus"	1	0	0	0	0
"equidem"	1	0	0	0	0
"epulor"	1	0	0	0	0
"epulae"	1	0	0	0	0
"eodem"	0	0	0	0	1
"eo3"	0	0	0	1	0
"eo1"	6	2	0	1	4
"enodus"	0	0	0	0	1
"enodo"	1	0	0	0	0
"eniteo"	1	0	0	0	0
"enimuero"	1	0	0	0	0
"enim2"	1	1	0	0	0
"eloquor"	0	0	0	0	1
"elinguis"	0	0	0	0	1
"eliminor"	1	0	0	0	0
"elimino"	1	0	0	0	1
"elimina"	0	1	0	0	0
"eiulatus"	1	0	0	0	0
"eicio"	0	1	0	0	0
"ei"	1	0	0	0	0
"eheu"	0	1	0	0	0
"egregius"	1	0	0	0	2
"egredior"	2	0	0	0	0
"ego"	57	23	1	4	41
"egestas"	0	1	0	0	2
"egens"	0	1	0	0	0
"effor"	0	0	0	0	1
"effero2"	2	2	0	0	0
"effectus1"	0	0	0	0	1
"educo2"	2	1	0	0	0
"edo2"	1	0	0	0	0
"edico2"	1	0	0	0	1
"ecquis"	1	0	0	0	0
"ecquid"	1	0	0	0	0
"eccus"	0	0	0	0	1
"ecce"	0	1	0	0	1
"ebur"	0	1	0	0	0
"duro"	0	1	0	0	0
"duriter"	0	1	0	0	0
"duplico"	0	0	0	1	0
"duo"	1	0	0	0	1
"dum2"	4	0	0	0	1
"dulcitas"	1	0	0	0	0
"dudum"	0	1	0	0	0
"ductor"	1	0	0	0	0
"ducto"	0	1	0	0	0
"duco"	1	1	0	1	0
"dubius"	1	0	0	0	1
"dubito"	4	0	0	0	1
"dryo"	0	0	0	1	0
"dono"	1	0	0	0	0
"donec"	1	0	0	0	0
"domutio"	0	0	0	0	1
"domus"	3	6	0	0	0
"domuitio"	1	0	0	0	0
"domo"	0	1	0	0	1
"dominor"	1	0	0	0	0
"dolor"	3	0	0	0	2
"doleo"	1	0	0	0	1
"do"	11	4	0	0	12
"diuito"	1	0	0	0	0
"diuitiae"	1	2	0	0	0
"diuidus"	1	0	0	0	0
"diuido"	1	0	0	0	0
"diuidia"	2	0	0	0	0
"diuexo"	0	0	0	0	1
"diuersus"	0	0	0	0	1
"diu"	2	1	0	0	1
"disturbo2"	1	0	0	0	0
"distraho"	0	0	0	0	1
"distinguo"	0	0	0	0	1
"dissipo"	1	1	0	0	0
"dissentio"	0	0	0	0	1
"dispendo"	0	0	0	0	1
"dispar"	1	0	0	0	0
"disicio"	1	1	0	0	0
"disertim"	1	0	0	0	0
"discorditas"	0	0	0	0	1
"discordia"	1	0	0	0	0
"discidium"	2	0	0	0	0
"discerpo"	1	0	0	0	0
"direpente"	0	1	0	0	0
"diligenter"	1	0	0	0	0
"dignus"	0	0	0	0	1
"dignosco"	1	0	0	0	0
"dignor"	2	0	0	0	0
"digno"	0	0	0	0	2
"dignitas"	1	0	0	0	0
"differo"	1	1	0	0	0
"dies"	1	1	0	0	2
"dictum"	3	2	0	0	2
"dictio"	0	0	0	0	3
"dico?"	1	0	0	0	0
"dico2"	9	5	0	1	6
"diana"	0	1	0	0	0
"deus"	3	4	1	1	3
"detraho"	0	0	0	0	1
"deterior"	1	0	0	0	0
"desubito"	1	0	0	1	0
"despondeo"	0	0	0	0	1
"despicio"	0	1	0	0	0
"desisto"	1	0	0	0	0
"desidero"	0	0	0	0	1
"desiderium"	0	0	0	0	1
"desertum"	1	0	0	0	0
"desero2"	2	0	0	0	0
"derepente"	1	1	0	0	0
"depono"	1	0	0	0	0
"depello"	0	0	0	0	1
